link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/nanjing-jnq/144359094.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/guangzhou-byq/135205998.html?s=sou_sou_soulb&t=0_0,抖音主播（金利来鞋品+五险一金）,广东海华优品电子商务有限公司,8千-1.5万,广州-白云区,1年经验,中技/中专,民营,互联网/电子商务
https://jobs.51job.com/beijing-xcq/144286647.html?s=sou_sou_soulb&t=0_0,线上语音不露脸主播,武汉瑶音文化传媒有限公司,1-1.5万,北京-西城区,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/dongguan-wjq/137205723.html?s=sou_sou_soulb&t=0_0,抖音主播,广东范迪慕体育用品有限公司,5千-1万,东莞-万江区,无需经验,无学历要求,民营,服装/纺织/皮革
https://jobs.51job.com/nanjing-jnq/144359205.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/suzhou-gyyq/142723850.html?s=sou_sou_soulb&t=0_0,电商主播,苏州优成优电子技术有限公司,6千-1.2万,苏州-工业园区,1年经验,大专,民营,互联网/电子商务
https://jobs.51job.com/shanghai/143525793.html?s=sou_sou_soulb&t=0_0,语音主播,霸州市铸煌文化传媒有限公司,300元/天,上海,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/shenzhen-lgq/128088503.html?s=sou_sou_soulb&t=0_0,招深圳龙岗酷狗主播,深圳市超粤文化传媒有限公司,5千-1万,深圳-龙岗区,无需经验,无学历要求,创业公司,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144359220.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/guangzhou-zcq/144365887.html?s=sou_sou_soulb&t=0_0,抖音主播,广州缤丽服饰有限公司,1.2-1.5万,广州-增城区,1年经验,无学历要求,民营,计算机软件
https://jobs.51job.com/chengdu/144362158.html?s=sou_sou_soulb&t=0_0,抖音主播,广东锐博人力资源服务有限公司,1-1.5万,成都,2年经验,本科,民营,专业服务(咨询、人力资源、财会)
https://jobs.51job.com/guangzhou-pyq/140906955.html?s=sou_sou_soulb&t=0_0,潮牌主播（高底薪高提成）,广州领尚星扬文化传媒有限公司,1-1.5万,广州-番禺区,1年经验,大专,民营,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144359130.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/huangshan/142182926.html?s=sou_sou_soulb&t=0_0,抖音主播,黄山市怡兴农产品开发有限公司,5千-1万,黄山,无需经验,无学历要求,民营,农/林/牧/渔
https://jobs.51job.com/chengdu-gxq/143577693.html?s=sou_sou_soulb&t=0_0,网络主播,雅居乐-雅生活集团,8千-1万,成都-高新区,1年经验,大专,已上市,物业管理/商业中心
https://jobs.51job.com/tianjin-bhxq/134832692.html?s=sou_sou_soulb&t=0_0,不露脸声音主播（周结工资）,霸州市铸煌文化传媒有限公司,2-2.5万,天津-滨海新区,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/144359120.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/wuhan-dhxjs/134586378.html?s=sou_sou_soulb&t=0_0,主播助理,武汉幻方科技有限公司,4-8千,武汉-东湖新技术产业开发区,1年经验,大专,创业公司,互联网/电子商务
https://jobs.51job.com/guangzhou-lwq/143309271.html?s=sou_sou_soulb&t=0_0,主播（可接受无经验）,广东省洛神珠宝有限公司,8千-1.2万,广州-荔湾区,无需经验,无学历要求,民营,奢侈品/收藏品/工艺品/珠宝
https://jobs.51job.com/lishui/144426966.html?s=sou_sou_soulb&t=0_0,直播策划/主播,浙江高乐旅游文化产业有限公司,5-8千,丽水,1年经验,大专,民营,娱乐/休闲/体育
https://jobs.51job.com/nanjing-jnq/144359246.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/baoding/139709831.html?s=sou_sou_soulb&t=0_0,不露脸语音主播,霸州市铸煌文化传媒有限公司,2-2.5万,保定,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/xian/141508762.html?s=sou_sou_soulb&t=0_0,主播,陕西丹凤葡萄酒销售有限公司,6-8千,西安,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/guangzhou-hzq/133133739.html?s=sou_sou_soulb&t=0_0,汽车主播,广州市广德宝汽车销售服务有限公司,8千-1.2万,广州-海珠区,2年经验,大专,民营,汽车
https://jobs.51job.com/nanjing-jnq/144359387.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
